Contract Name,Type,Sale Date,Transaction Date,Source,Sub Source,Description,Territory,Barcode,Cat No,Release Title,Release Version,Release Artist,Release Label,PPD,ISRC,Track Title,Track Version,Track Artist,Track Label,Distribution Channel,Configuration,Price Category,Units,Per Unit Rate,Gross Amount in Currency,Net Amount in Currency,Original Currency,Exchange Rate,Gross Amount,Net Amount,Calculation Type,Calculation Input,Participation Rate,Pro Rata,Mechanical Deduction Type,Mechanical Deduction Rate,Mechanical Deduction,Deduction Unit Rate,Deduction Rate,Deduction,Royalty Rate,Unit Rate,Multiplier,Reduction Rate,Net Payable,Reserve Rate,Reserve,Specific Withholding Tax Rate,Specific Withholding Tax,Currency
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,NG,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Family Promotion Stream,,2,10.76631308,0.000841275442,0.000828656,USD,25985,21.86054236037,21.53262616,Net Receipts,21.53262616,100,21.53262616,,100,0,,2.6,0.55984828016,70,,1,,14.680944515888,0,0,,0,VND
UniFLOWs Label,Track,2026-06-04,2026-08-01,YouTube,,,TW,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,37.469510805,0.0014637,0.001441745,USD,25989,38.0400993,37.469510805,Net Receipts,37.469510805,100,37.469510805,,100,0,,2.6,0.97420728093,70,,1,,25.546712466848998,0,0,,0,VND
UniFLOWs Label,Track,2026-06-08,2026-08-01,YouTube,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,2,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,VN,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Premium Stream,,1,100.78895496,0.003937803125,0.003878736,USD,25985,102.323814203125,100.78895496,Net Receipts,100.78895496,100,100.78895496,,100,0,,2.6,2.6205128289600004,70,,1,,68.717909491728,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,AU,859705812803,859705812803,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,0,TCAJQ2502820,khoảng trống (unplugged),,Khờ Band,UniFLOWs Label,Digital,Family Promotion Stream,,1,188.338214615,0.007358333559,0.007247959,USD,25985,191.206297530615,188.338214615,Net Receipts,188.338214615,100,188.338214615,,100,0,,2.6,4.89679357999,70,,1,,128.40899472450698,0,0,,0,VND
UniFLOWs Label,Track,2026-06-03,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,0,0,0.000129675,0.00012773,USD,25989,3.370123575,3.31957497,Net Receipts,3.31957497,100,3.3195749699999997,,100,0,,2.6,0.08630894922000001,70,,1,,2.2632862145459995,0,0,,0,VND
UniFLOWs Label,Track,2026-06-01,2026-08-01,YouTube Red,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Stream,,0,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-22,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,4,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-06-03,2026-08-01,YouTube,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,Promotion Stream,,1,0,0,0,USD,,0,0,Net Receipts,0,100,0,,100,0,,2.6,0,70,,1,,0,0,0,,0,VND
UniFLOWs Label,Track,2026-05-31,2026-08-01,Meta,,,VN,859709688718,859709688718,mùa hạ 2019,,Khờ Band,UniFLOWs Label,0,TCAJT2506106,mùa hạ 2019,,Khờ Band,UniFLOWs Label,Digital,FB_FROM_IG_CROSSPOST,,9,0.028977734999999998,0.0000101886326390225,0.000010036,USD,25989,0.26479237365555575,0.260825604,Net Receipts,0.260825604,100,0.260825604,,100,0,,2.6,0.006781465704,70,,1,,0.1778308968072,0,0,,0,VND
